title,artist_name,release,year,tag,caption_writing
Big Sky,Rachel Loy,Big Sky,0,['pop' 'female vocalists' 'indie pop' 'indie'],"This female-led indie pop gem features catchy pop hooks and a fresh, unique sound that's sure to appeal to fans of both indie and pop music."
Ave María,David Bisbal,Premonición Live,2002,"['latin pop' 'romantic' 'pop' 'sexy' 'passionate' 'stylish' 'sensual'
 'dance' 'lively' 'playful' 'latin']","Combining passionate lyrics, romantic melodies, and sensual beats, this lively Latin pop track is perfect for those who want to dance and feel the playful and stylish vibe while indulging in their seductive side with the sexy and irresistible energy of Latin pop genre."
Round Midnight,Estelle Kokot,Information,2006,['jazz'],Experience the smooth and soulful sounds of jazz with this captivating new song.
Skip Divided (Modeselektor Remix),Thom Yorke,And It Rained All Night (Burial Remix)/Skip Divided (Modeselektor Remix)/ Analyse (Various Remix),2007,['electronica' 'electronic'],"This pulsating and hypnotic track is a masterful blend of electronic and electronica genres, with soaring synths, intricate beats, and an undeniable energy that's impossible to resist."
Lady Come Lately ,Sonny Landreth,Voices Of Americana: Sonny Landreth,1999,['guitar' 'rock' 'classic rock' 'blues'],This classic rock song blends the soulful sound of blues guitar with driving rock rhythms for an electrifying musical experience.
Back From The Edge,Bruce Dickinson,Skunkworks,0,"['death metal' 'cathartic' 'provocative' 'hostile' 'aggressive'
 'revolutionary' 'intense' 'theatrical' 'rock' 'confrontational'
 'heavy metal' 'classic' 'classic rock' 'fiery' '90s' 'metal' 'pop rock'
 'hard rock' 'angry' 'volatile' 'visceral']","This provocative and confrontational classic rock song from the 90s blends the intense and visceral sounds of hard rock and heavy metal, while also incorporating cathartic and volatile elements of death metal. The lyrics are fiery and angry, delivering a revolutionary and hostile message that is both aggressive and theatrical. A classic metal anthem, this song is both a cathartic release and a call to action."
Seven Like That,Quickspace,Precious Falling,1999,"['hanging out' 'indie rock' 'reflective' 'brooding' 'theatrical'
 'space rock' 'the creative side' 'hypnotic' 'rambunctious' 'spacey'
 'rollicking' 'ramshackle' 'raucous' 'whimsical' 'naive' 'quirky'
 'introspection' 'energetic' 'bittersweet' 'noise pop'
 'alternative indie rock' 'fun' 'reflection' 'pop rock'
 'experimental rock' 'ambient pop' 'lively' 'gleeful' 'cheerful' 'playful'
 'trippy' 'volatile' 'indie' 'freewheeling']","This indie rock song is a rollicking and experimental journey through spacey, hypnotic noise pop and trippy, reflective introspection, with a whimsical and quirky twist and a freewheeling, brooding undertone. The playful and fun vocals celebrate the creative side of hanging out, while the ambient pop and raucous, volitile instrumentation provide a gleeful and theatrical backdrop to this bittersweet and energetic reflection."
Reunion,Stars,Do You Trust Your Friends?,2004,"['reflective' 'alternative pop rock' 'indie electronic' 'light'
 'mischievous' 'the creative side' 'chamber pop' 'wistful' 'dreamy'
 'bittersweet' 'innocent' 'alternative indie rock' 'indie pop' 'pop rock'
 'poignant' 'intimate' 'refined' 'playful' 'precious' 'sweet' 'indie']","Drawing from the creative side, this alternative indie rock tune is a refined and poignant blend of pop rock, indie electronic and indie pop, with an innocent and sweet Chamber pop sound that is both intimate and reflective, yet playful and mischievous, delivering a bittersweet and wistful vibe that is as precious and light as it is dreamy."
Iksume,Nile,Born,0,['heavy metal' 'soul' 'pop rock'],"This song's dynamic sound beautifully fuses elements of soul, pop rock, and heavy metal to create a truly electrifying experience."
Perfect Mystery - Original,Gong,You,0,['progressive rock' 'psychedelic'],Get lost in the mind-bending realm of psychedelic and explore the uncharted territories of progressive rock with this transcendental track.
Hemligheten,Uno Svenningsson,I det osynliga,2001,['pop' 'international' 'pop rock'],Get ready to rock around the globe with an international pop rock sound that's sure to make you move and sing along to the irresistible pop hooks.
Down the River of Golden Dreams,Okkervil River,Down The River Of Golden Dreams,2003,"['indie rock' 'reflective' 'lo fi' 'alternative pop rock' 'rock'
 'melancholy' 'rainy day' 'bittersweet' 'alternative indie rock'
 'acoustic' 'autumn' 'searching' 'pop rock' 'intimate' 'folk' 'indie']","This alternative indie rock track is a perfect accompaniment to a rainy day, combining elements of pop rock, indie, folk and lo-fi to create a bittersweet and melancholy sound that's as intimate and reflective as it is raw and powerful. With its blend of acoustic and electric instruments, this indie rock ballad captures the searching and introspective spirit of autumn, making it an ideal soundtrack to those quiet moments of contemplation and reflection."
Bar-ba-sol,David Cook,David Cook,2008,"['hanging out' 'earnest' 'gloomy' 'reflective' 'confident' 'brooding'
 'smooth' 'dramatic' 'romantic' 'somber' 'intense' 'heartache' 'rock'
 'melancholy' 'pop' 'reverent' 'amiable good natured' 'passionate'
 'post grunge' 'rousing' 'sophisticated' 'in love' 'stylish' 'empowering'
 'alternative rock' 'alternative indie rock' 'nostalgic' 'motivation'
 'adult alternative pop rock' 'swaggering' 'yearning' 'searching'
 'pop rock' 'plaintive' '00s' 'hard rock' 'slick']","This dynamic song blends adult alternative pop rock with alternative indie rock, resulting in a sophisticated and empowering sound that's both intense and passionate, yet amiable and good-natured. With confident swagger and a yearning for love, the earnest lyrics evoke a mix of motivational inspiration and nostalgic melancholy, highlighted by a brooding post-grunge and alternative rock flair. The slick and romantic tone builds to a dramatic and rousing crescendo, making it a perfect anthem for hanging out or dealing with heartache. Paying homage to the reverent smoothness of 00s hard rock, the reflective and plaintive lyrics stylishly explore the darker emotions of the genre, creating a truly unforgettable and powerful song."
Smooth up In Ya,Bullet Boys,Smooth Up In Ya - The Best Of,1988,['hard rock' '80s'],"This hard rock anthem transports you back to the peak of the 80s, with scorching guitar riffs and pounding drums that will make you want to bang your head."
Stand And Deliver,Mr. Mister,Broken Wings,1987,['pop' 'upbeat'],This catchy pop tune with upbeat vibes will have you dancing along in no time.
Living In The Ghetto,Toots & The Maytals,Time Tough: The Anthology,1976,['roots reggae' 'ska' 'reggae'],"This song is a fusion of reggae, ska, and roots reggae, blending uplifting rhythms and grooves with soulful vocals and socially conscious lyrics."
Theme From A Fairytale,Lostep,Because We Can,2005,"['aggressive' 'druggy' 'idm' 'the creative side' 'hypnotic' 'late night'
 'electronic' 'quirky' 'cerebral' 'clinical' 'ethereal' 'nocturnal'
 'trippy' 'bleak' 'detached']","This IDM-inspired electronic banger is the perfect late-night soundtrack for the cerebral and creative side of your mind, with hypnotic beats and trippy, ethereal synths blending with aggressive drums and a detached, clinical feel that's simultaneously druggy and quirky, making for a nocturnal and bleak mood that's as entrancing as it is experimental."
Amargos Aliados,Azul Violeta,America,0,['rock' 'latin rock' 'rock en espaol' 'latin'],Experience the electrifying fusion of Latin and rock en español in this timeless anthem that celebrates the passionate energy and fierce spirit of the Latin rock genre.
hybrydisy,Sundial Aeon,Apotheosis,2007,['downtempo' 'electronica' 'electronic' 'chillout' 'ambient'],"This electronic, chillout track blends elements of electronica, downtempo, and ambient to create a mesmerizing and dreamy soundscape."
Angels And Acid,Infernal Majesty,One Who Points To Death,2004,['death metal' 'heavy metal' 'metal' 'pop rock'],"This song is a blend of pop rock, heavy metal, and death metal elements with an underlying metal vibe that will pump you up from start to finish."
Love Has Led Us Astray,Thursday,Common Existence,2009,['emo' 'shoegaze' 'rock' 'alternative' 'ethereal'],"This song fuses the genres of shoegaze, alternative, and rock, resulting in an ethereal and emotionally-charged piece that perfectly showcases emo influences."
Lintu,Timo Rautiainen & Trio Niskalaukaus,Tilinteon Hetki,2000,['rock' 'metal'],"This high-octane track embraces a heavy metal sound with gritty guitar riffs and thunderous drums, while channeling the raw energy of classic rock."
Don't Be Afraid To Run,Greg Graffin,Cold As The Clay,2006,"['reserved' 'cathartic' 'alternative singer songwriter' 'mellow'
 'contemporary folk' 'somber' 'delicate' 'light' 'the great outdoors'
 'comfort' 'passionate' 'autumnal' 'earthy' 'rainy day' 'gentle'
 'bittersweet' 'alternative indie rock' 'maverick' 'country' 'folk rock'
 'acoustic' 'reflection' 'soothing' 'rustic' 'weary' 'autumn' 'searching'
 'pop rock' 'country rock' 'americana' 'intimate' 'long walk' 'folk'
 'drinking' 'banjo' 'indie']","This alternative indie rock song takes you on a long walk through the great outdoors with a maverick searching for reflection in their passionate, reserved way, crafted with delicate banjo and a soothing, earthy sound that's both light and cathartic, with a contemporary folk twist and an intimate, rustic feel that's perfect for a rainy autumn day, providing comfort and a bittersweet mellow vibe that's both pop rock and indie in style, rooted deeply in Americana and country rock ethos, but ultimately uplifting and gentle like a whispered story from an alternative singer songwriter."
Rock Candy,Bullet Boys,Greatest Hits - Burning Cats and Amputees: People With Issues,1992,['rock' 'hair metal'],"This electrifying track embodies the essence of hair metal, with pounding drums, searing guitar riffs, and soaring vocals that define the genre of rock."
Steppin' Out,Cream,BBC Sessions,0,"['urgent' 'confident' 'blues rock' 'organic' 'british psychedelia'
 'aggressive' 'intense' 'regional blues' 'druggy' 'rock' 'rowdy'
 'album rock' 'classic rock' 'hypnotic' 'reckless' 'brash' 'rollicking'
 'rousing' 'bravado' 'raucous' 'dreamy' 'quirky' 'energetic' 'fiery'
 'sprawling' 'ethereal' 'ominous' 'swaggering' 'pop rock' 'nocturnal'
 'blues' 'psychedelic garage' 'hard rock' 'lively' 'cheerful' 'playful'
 'british blues' 'enigmatic' 'trippy' 'volatile' 'visceral' 'freewheeling']","This high-octane blues rock anthem fused with unsettling psychedelic garage elements showcases a rollicking and freewheeling spirit that spills into classic rock territory, exuding swaggering bravado and intense confidence with each urgent, sprawling chorus. From the hypnotic and trippy guitar riffs to the rowdy, raucous vocals and enigmatic, ethereal instrumentals, this album rock hit channels the spunk and reckless energy of British psychedelia and British blues, taking listeners on a druggy, visceral journey into the nocturnal heart of rock. Despite its hard-hitting and fiery demeanor, there's a playful and cheerful undertone to the song's quirkiness, as well as an organic, heartfelt quality that balances its volatile, brash personality. Whether listeners are in the mood for energetic pop rock, regional blues-inspired storytelling, or dreamy, sprawling soundscapes, this song delivers on all fronts with its hypnotic and rousing blend of styles."
My Disease,The Letter Black,Hanging On By A Thread,2010,"['cathartic' 'earnest' 'reflective' 'dramatic' 'religious' 'uplifting'
 'epic' 'fiery' 'searching' 'pop rock' 'contemporary christian'
 'hard rock' 'christian rock' 'fierce' 'affirmation']","Get ready to be taken on an epic, cathartic journey with this contemporary Christian pop rock masterpiece; filled with earnest searching and uplifting affirmations, this reflective and dramatic religious offering packs a fiery punch with its fierce hard rock beats that will leave you feeling both spiritually rejuvenated and energized!"
